director,genre,stars,title,year
Sujoy Ghosh,,"Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta, Nawazuddin Siddiqui, Dhritiman Chatterjee",Kahaani,2012
Rajkumar Hirani,,"Sanjay Dutt, Arshad Warsi, Gracy Singh, Boman Irani, Sunil Dutt",Munna Bhai M.B.B.S.,2003
Priyadarshan,,"Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu, Om Puri",Hera Pheri,2000
Ömer Vargi,,"Cem Yilmaz, Mazhar Alanson, Ceyda Düvenci, Selim Nasit, Mustafa Uzunyilmaz",Her Sey Çok Güzel Olacak,1998
Umesh Shukla,,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Mahesh Manjrekar, Govind Namdeo",OMG: Oh My God!,2012
Ramesh Sippy,,"Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan, Hema Malini",Sholay,1975
John Mathew Matthan,,"Aamir Khan, Naseeruddin Shah, Sonali Bendre, Mukesh Rishi, Akash Khurana",Sarfarosh,1999
Billy Bob Thornton,,"Billy Bob Thornton, Dwight Yoakam, J.T. Walsh, John Ritter, Lucas Black",Sling Blade,1996
Kar-Wai Wong,,"Brigitte Lin, Takeshi Kaneshiro, Tony Leung Chiu-wai, Faye Wong, Valerie Chow",Chungking Express,1994
Woody Allen,,"Woody Allen, Diane Keaton, Tony Roberts, Carol Kane, Paul Simon",Annie Hall,1977
Franklin J. Schaffner,,"Steve McQueen, Dustin Hoffman, Victor Jory, Don Gordon, Anthony Zerbe",Papillon,1973
Mel Brooks,,"Gene Wilder, Madeline Kahn, Marty Feldman, Peter Boyle, Cloris Leachman",Young Frankenstein,1974
Garth Davis,,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar, Abhishek Bharate",Lion,2016
Wilson Yip,,"Donnie Yen, Simon Yam, Siu-Wong Fan, Ka-Tung Lam, Lynn Xiong",Ip Man,2008
Spike Lee,,"Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson, Giancarlo Esposito",Do the Right Thing,1989
Tom Hooper,,"Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi, Robert Portal",The King's Speech,2010
Oliver Stone,,"Kevin Costner, Gary Oldman, Jack Lemmon, Walter Matthau, Sally Kirkland",JFK,1991
Oriol Paulo,,"Mario Casas, Ana Wagener, Jose Coronado, Bárbara Lennie, Francesc Orella",The Invisible Guest,2016
Terry Jones,,"Graham Chapman, John Cleese, Michael Palin, Terry Gilliam, Eric Idle",Life of Brian,1979
Edward Zwick,,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers, Arnold Vosloo",Blood Diamond,2006
Satoshi Kon,,"Junko Iwao, Rica Matsumoto, Shinpachi Tsuji, Masaaki Ôkura, Yôsuke Akimoto",Perfect Blue,1997
Katsuhiro Ôtomo,,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda, Hiroshi Ôtake",Akira,1988
"Danny Boyle, Loveleen Tandan",,"Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor, Raj Zutshi",Slumdog Millionaire,2008
Kim Ki-duk,,"Kim Ki-duk, Oh Yeong-su, Jong-ho Kim, Kim Young-min, Jae-kyeong Seo","Spring, Summer, Fall, Winter... and Spring",2003
Louis Malle,,"Gaspard Manesse, Raphael Fejtö, Francine Racette, Stanislas Carré de Malberg, Philippe Morier-Genoud","Goodbye, Children",1987
Aditya Chopra,,"Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal, Anupam Kher",Dilwale Dulhania Le Jayenge,1995
Nuri Bilge Ceylan,,"Dogu Demirkol, Murat Cemcir, Bennu Yildirimlar, Hazar Ergüçlü, Serkan Keskin",The Wild Pear Tree,2018
Joseph L. Mankiewicz,,"Laurence Olivier, Michael Caine, Alec Cawthorne, John Matthews, Eve Channing",Sleuth,1972
Emir Kusturica,,"Bajram Severdzan, Srdjan 'Zika' Todorovic, Branka Katic, Florijan Ajdini, Ljubica Adzovic","Black Cat, White Cat",1998
David Lean,,"Celia Johnson, Trevor Howard, Stanley Holloway, Joyce Carey, Cyril Raymond",Brief Encounter,1945
Kore-eda Hirokazu,,"Yûya Yagira, Ayu Kitaura, Hiei Kimura, Momoko Shimizu, Hanae Kan",Nobody Knows,2004
"Vincent Paronnaud, Marjane Satrapi",,"Chiara Mastroianni, Catherine Deneuve, Gena Rowlands, Danielle Darrieux, Simon Abkarian",Persepolis,2007
Jean-Pierre Melville,,"Alain Delon, François Périer, Nathalie Delon, Cathy Rosier, Jacques Leroy",Le Samouraï,1967
Yôjirô Takita,,"Masahiro Motoki, Ryôko Hirosue, Tsutomu Yamazaki, Kazuko Yoshiyuki, Kimiko Yo",Departures,2008
Andrei Tarkovsky,,"Oleg Yankovskiy, Erland Josephson, Domiziana Giordano, Patrizia Terreno, Laura De Marchi",Nostalghia,1983
Alejandro Amenábar,,"Javier Bardem, Belén Rueda, Lola Dueñas, Mabel Rivera, Celso Bugallo",The Sea Inside,2004
Julian Schnabel,,"Mathieu Amalric, Emmanuelle Seigner, Marie-Josée Croze, Anne Consigny, Patrick Chesnais",The Diving Bell and the Butterfly,2007
Isao Takahata,,"Chloë Grace Moretz, James Caan, Mary Steenburgen, James Marsden, Aki Asakura",The Tale of The Princess Kaguya,2013
Billy Wilder,,"William Holden, Don Taylor, Otto Preminger, Robert Strauss, Harvey Lembeck",Stalag 17,1953
Jae-young Kwak,,"Tae-Hyun Cha, Jun Ji-hyun, In-mun Kim, Song Wok-suk, Jin-hee Han",My Sassy Girl,2001
José Padilha,,"Wagner Moura, André Ramiro, Caio Junqueira, Milhem Cortaz, Fernanda Machado",Elite Squad,2007
